
sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size, stock,weight,weight_units
NB-TCO-13OZ,4,Toasted Coconut Nut Butter:13 oz Jar,True,6,13 oz Jar,"[{'id': 198480, 'on_hand': '263', 'available': '-73', 'committed': '336', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",17,oz

WT158151CF,0.12,Label-NB-1Pack:Almond Butter,True,1,Each,"[{'id': 198511, 'on_hand': '1150', 'available': '1150', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT157272CF,0.12,Label-NB-1Pack:Chai,True,1,Each,"[{'id': 198512, 'on_hand': '1050', 'available': '1050', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT159032CF,0.12,Label-NB-1Pack:Chocolate Sea Salt,True,1,Each,"[{'id': 198513, 'on_hand': '1250', 'available': '1250', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT159029CF,0.12,Label-NB-1Pack:GGet Espresso,True,1,Each,"[{'id': 198514, 'on_hand': '1988', 'available': '1988', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT157276CF,0.12,Label-NB-1Pack:Fiji Ginger,True,1,Each,"[{'id': 198515, 'on_hand': '1225', 'available': '1225', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT158147CF,0.12,Label-NB-1Pack:Hot Mamba,True,1,Each,"[{'id': 198516, 'on_hand': '1015', 'available': '1015', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT157274CF,0.12,Label-NB-1Pack:Maple Cinnamon,True,1,Each,"[{'id': 198517, 'on_hand': '775', 'available': '775', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT157270CF,0.12,Label-NB-1Pack:Peanut Butter,True,1,Each,"[{'id': 198518, 'on_hand': '975', 'available': '975', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT158149CF,0.12,Label-NB-1Pack:Peanut Pecan,True,1,Each,"[{'id': 198519, 'on_hand': '975', 'available': '975', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT158153CF,0.12,Label-NB-1Pack:Toasted Coconut,True,1,Each,"[{'id': 198520, 'on_hand': '1025', 'available': '1025', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT158152CF,0.12,Label-NB-2Pack:Almond Butter,True,1,Each,"[{'id': 198522, 'on_hand': '1270', 'available': '1270', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT157273CF,0.12,Label-NB-2Pack:Chai,True,1,Each,"[{'id': 198523, 'on_hand': '1360', 'available': '1360', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT159033CF,0.12,Label-NB-2Pack:Chocolate Sea Salt,True,1,Each,"[{'id': 198524, 'on_hand': '2935', 'available': '2935', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
WT159030CF,0.12,Label-NB-2Pack:GGet Espresso,True,1,Each,"[{'id': 198525, 'on_hand': '2153', 'available': '2153', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
