sku,price,fully_qualified_name,active,for_sale,product_type,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
NB-MPC-TCO-130Z-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Maple Cinnamon & Toasted Coconut",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-PNUT-PPEC-130Z-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Peanut Butter &  Peanut Pecan",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-MPC-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Maple Cinnamon",True,True,inventory_assembly,1,,,0,
NB-TCO-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Toasted Coconut",True,True,inventory_assembly,1,,,0,
NB-PNUT-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Peanut Butter",True,True,inventory_assembly,1,,,0,
NB-PPEC-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Peanut Pecan",True,True,inventory_assembly,1,,,0,
NB-CHAI-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Chai Spice",True,True,inventory_assembly,1,,,0,
NB-BAR-BUTTER-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Bar Butters",True,True,inventory_assembly,1,,,0,
NB-LCASH-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels:Ltd Batch - Lemon Cashew",True,True,inventory_assembly,1,,,0,
NB-TRANS-JAR,0,"Nut Butter, Transition Jar Packaging & Labels",True,True,inventory_assembly,1,,,0,
R&D-NB-CHAI,0,R&D Nut Butters:Chai Spice Mix Options,True,True,inventory_assembly,1,,,0,
R&D-NB-CSS-ONYX,0,R&D Nut Butters:Guittard Onyx CSS,True,True,inventory_assembly,1,,,0,
NB-R&D,0,R&D Nut Butters,True,True,inventory_assembly,1,,,0,
NB-LTD-LCASH-SCRAP,0,Limited Batch - Lemon Cashew Nut Butter:NB Scrap - 1 oz,True,True,inventory_assembly,1,1 oz,,1,oz
NB-LTD-LCASH-10OZ,0,Limited Batch - Lemon Cashew Nut Butter:10 oz Jar,True,True,inventory_assembly,1,10 oz,,1.25,lb
NB-LTD-LCASH,0,Limited Batch - Lemon Cashew Nut Butter,True,True,inventory_assembly,1,,,0,
NB-WHOOPS-ESP,0,Whoops Tigerwalk Espresso Nut Butter,True,True,inventory_assembly,1,,,0,
NB-PPEC-TCO-130Z-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Peanut Pecan & Toasted Coconut",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-PNUT-TCO-130Z-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Peanut Butter & Toasted Coconut",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CHAI-PPEC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chai Spice & Peanut Pecan",True,True,inventory_assembly,1,2/13oz Pack,,3,lb
NB-CHAI-PNUT-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chai Spice & Peanut Butter",True,True,inventory_assembly,1,2/13oz Pack,,3,lb
NB-CHAI-MPC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chai Spice & Maple Cinnamon",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CHAI-MAMBA-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chai Spice & Hot Mamba",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-PNUT-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Peanut Butter",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-MPC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Maple Cinnamon",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-MAMBA-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Hot Mamba",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-GGET-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:GGet Espresso",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-FGIN-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Fiji Ginger",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CSS-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chocolate Sea Salt",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CHAI-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chai Spice",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-ALM-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack",True,True,inventory_assembly,1,2/13oz Pack,,0,
NB-TCO-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Toasted Coconut",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-PPEC-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Peanut Pecan",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-PNUT-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Peanut Butter",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-MPC-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Maple Cinnamon",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-MAMBA-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Hot Mamba",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-GGET-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:GGet Espresso",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-FGIN-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Fiji Ginger",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-PPEC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Peanut Pecan",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CHAI-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack:Chai Spice",True,True,inventory_assembly,1,1/13oz Pack,,2,
NB-TCO-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Toasted Coconut",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-ALM-CHAI-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Almond Butter & Chai Spice",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CHAI-FGIN-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chai Spice & Fiji Ginger",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CHAI-CSS-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chai Spice & Chocolate Sea Salt",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-TCO-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Toasted Coconut",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-PPEC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Peanut Pecan",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-PNUT-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Peanut Butter",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-MPC-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Maple Cinnamon",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-MAMBA-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Hot Mamba",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-FGIN-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Fiji Ginger",True,True,inventory_assembly,1,2/13oz Pack,,3,
NB-CASH-CSS-13OZ-2PACK-GIFT,0,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Cashew Butter & Chocolate Sea Salt",True,True,inventory_assembly,1,2/13oz Pack,,3,
