date,money spent
2019-07-09,687109.5
2019-07-10,119774.54999999999
2019-07-16,873911.4
2019-07-17,116009.305
2019-07-18,354095.8
2019-07-29,900.0
2019-07-30,56951.88
2019-08-01,7270.0
2019-08-06,84828.94
2019-08-07,1600.0
2019-08-08,440.0
2019-08-16,2080.0
2019-08-20,142522.72
2019-08-21,368550.0
2019-08-22,2420.0
2019-09-03,853875.0
2019-09-04,23414.25
2019-09-05,200395.0
2019-09-09,1180.8004001999998
2019-09-12,34156.3811621
2019-09-13,17285.2831314
2019-09-17,16769.632666999998
2019-09-18,37887.12558000001
2019-09-19,34759.64
2019-09-20,152015.0
2019-09-23,15247.569043799998
2019-09-24,61831.38500000001
2019-09-25,3306.925
2019-09-26,22877.1232926
2019-09-30,687894.985
2019-10-01,57306.017433099994
2019-10-03,112632.0
2019-10-04,621.0
2019-10-07,4635.75
2019-10-08,4516.1399104
2019-10-09,1290502.11134
2019-10-10,3515.68788
2019-10-11,4378.657
2019-10-14,70645.54727000001
2019-10-15,1489.6659407
2019-10-16,11268.977105000002
2019-10-17,0.0
2019-10-18,80672.0318939
2019-10-21,14370.6206468
2019-10-22,235.6611689
2019-10-23,10462.1106
2019-10-24,36.95156720000001
2019-10-29,0.0
2019-10-30,467.761905
2019-10-31,0.0
2019-11-02,96167.29003000003
2019-11-04,6735.242
2019-11-06,381.28528300000005
2019-11-07,531.5899999999998
2019-11-08,19822.7956452
2019-11-12,1674.56
2019-11-13,1551.8864374999998
2019-11-14,2018.011808
2019-11-15,5627.0
2019-11-18,6406.780057
2019-11-20,239.98522
2019-11-21,307.34000000000003
2019-11-25,1293.0
2019-11-26,1897.174
2019-11-27,2518.94819
2019-12-02,1885.4954172
2019-12-03,3641.9313763
2019-12-05,2872.7554838
2019-12-06,1013.8046915000001
2019-12-09,13807.5
2019-12-11,5901.098986020001
2019-12-12,501.12
2019-12-13,1073.9402475
2019-12-16,8986.12
2019-12-17,414.15693120000003
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,274.8
2019-12-23,2504.57
2019-12-30,19976.691184300005
2019-12-31,5403.1117143
2020-01-02,135.92
2020-01-03,750.0
2020-01-06,296.3897999999999
2020-01-07,2136.779
2020-01-08,2.2
2020-01-09,4833.662590000001
2020-01-10,682.24
2020-01-13,22634.058937499998
2020-01-14,5255.3451992
2020-01-15,3446.181495
2020-01-16,8485.574108
2020-01-17,22.857120000000002
2020-01-18,0.0
2020-01-20,2470.6059999999998
2020-01-21,432.22594999999995
2020-01-22,3342.872
2020-01-23,526.2844
2020-01-24,1276.853033
2020-01-28,6540.23
2020-01-29,3.575
2020-01-30,109.92
2020-01-31,16346.25
2020-02-03,5174.6082
2020-02-04,5807.32
2020-02-05,10209.9
2020-02-06,47.0
2020-02-08,350.0
2020-02-10,2460.0
2020-02-11,11541.054168749999
2020-02-13,5098.81
2020-02-17,24256.1498268
2020-02-18,484.25
2020-02-19,32776.242
2020-02-20,1941.0
2020-02-24,169.61
2020-02-25,8431.9533696
2020-02-27,3239.8372
2020-02-28,2.8000000000000003
2020-03-02,204.82350000000002
2020-03-03,1236.44299
2020-03-04,6.292
2020-03-05,0.0
2020-03-06,4.16
2020-03-09,5603.5524575
2020-03-10,3750.0
2020-03-11,371.7
2020-03-12,7051.717
2020-03-13,4.712418
2020-03-15,516.6
2020-03-16,1308.7959999999998
2020-03-17,4920.5
2020-03-18,22255.68152
2020-03-19,16.1422986
2020-03-20,8764.524
