sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
I-ALM-50#-INACTIVE,172.5,"INGREDIENTS:Almond Stock, Mission Dry Roasted - 50# case",False,1,Each,,0,
RW2160088-INACTIVE,0,"INGREDIENTS:Apricots, Turkish Whole - 28# case",False,1,Each,,0,
I-ASKINOSIE-MOR-INACTIVE,25,"INGREDIENTS:Chocolate, Askinosie Morsels - by the Kg",False,1,Each,,0,
272230-INACTIVE,0,"INGREDIENTS:Cashew Stock, 25#",False,1,Each,,0,
I-CHAI-NOSUGAR-INACTIVE,14.24,"INGREDIENTS:Chai Spice Mix - No Sugar, by the LB",False,1,Each,,0,
23450-INACTIVE,44.75,"INGREDIENTS:Vietnamese Cinnamon, 25# bag",False,1,Each,,0,
3109-INACTIVE,112.25,"INGREDIENTS:Org Coconut Chips, Unsweetened - 25lbs",False,1,Each,,0,
CRYSTALS-INACTIVE,134.19,"INGREDIENTS:Sugar, A4-15 Coconut Crystals - 27.5# bag",False,1,Each,,0,
990042-INACTIVE,17.09,"INGREDIENTS:Oil, Organic Coconut - 2# Jar",False,1,Each,,0,
RW5100178-INACTIVE,57,"INGREDIENTS:Sweetened Dried Tart Cherries, 10# case",False,1,Each,,0,
I-ESP-TIGER-5LB-INACTIVE,51.75,INGREDIENTS:Equator Coffees Tigerwalk Espresso - 5LB Bag,False,1,Each,,0,
20144-INACTIVE,186.85,"INGREDIENTS:Crystallized FIJI Ginger Mini Chips, 25.4# case",False,1,Each,,0,
250220-INACTIVE,24.77,"INGREDIENTS:Oil, Grapeseed (5 liter bottle)",False,1,Each,,0,
017463-20-US-INACTIVE,0,"INGREDIENTS:Green Tea Extract, GT Fort 101 C IP",False,1,Each,,0,
RST DCD 25LB-INACTIVE,156.25,"INGREDIENTS:Roasted Diced Hazelnuts, 25#",False,1,Each,,0,
6150-INACTIVE,0,"INGREDIENTS:Honey, Local Wildflower - 60#",False,1,Each,,0,
OHDHON(5gal)-INACTIVE,0,"INGREDIENTS:Honey, Oregon High Desert - 5 gallon",False,1,Each,,0,
KOSH##-INACTIVE,4.92,"INGREDIENTS:Salt, Jacobsen Kosher Bulk - by the LB",False,1,Each,,0,
92040-INACTIVE,282.36,"INGREDIENTS:Sugar, Pure Standard Maple - 40# Box",False,1,Each,,0,
I-NIBS-INACTIVE,9.75,"INGREDIENTS:Cocoa Nibs, 1#",False,1,Each,,0,
181237-INACTIVE,47.91,"INGREDIENTS:Oats, Old Fashioned GF - 25#",False,1,Each,,0,
35009-INACTIVE,0,"INGREDIENTS:Oats, 50# Bag",False,1,Each,,0,
QUINOAFLK25#B-O-INACTIVE,104,"INGREDIENTS:Quinoa Flake, Organic RTE - 50# Bag",False,1,Each,,0,
272250-INACTIVE,0,"INGREDIENTS:Natural PB Stock - Olde Tyme, 30#",False,1,Each,,0,
2191-INACTIVE,207,"INGREDIENTS:Pecan Pieces, Fancy XL Org - 30# case",False,1,Each,,0,
PUMPKINSEED-INACTIVE,3.3,"INGREDIENTS:Pumpkin Seeds, Roasted - by the LB",False,1,Each,,0,
5171786-INACTIVE,142.95,"INGREDIENTS:Quinoa Crisps, Organic - 25# case",False,1,Each,,0,
NSSU155-INACTIVE,47.91,"INGREDIENTS:Sugar, Raw Demerara - 25# bag",False,1,Each,,0,
35152-INACTIVE,0,"INGREDIENTS:Salt, Fine Sea Sicily Trapani 25kgs",False,1,Each,,0,
SORGHUM-INACTIVE,133,INGREDIENTS:Sorghum Syrup - 5 Gallon,False,1,Each,,0,
TAZACAFE-INACTIVE,55,INGREDIENTS:Taza (Cafe Blend) - 5# Bag,False,1,Each,,0,
TAZAPURO-INACTIVE,50,INGREDIENTS:Taza (Puro Blend) - 5# Bag,False,1,Each,,0,
BW416P804,0,INGREDIENTS:Bovine - rBGH Free - 20kg,False,1,Each,,0,
PURIS870H-INACTIVE,171.96,INGREDIENTS:Pea Protein (Puris) - 20Kg Bag,False,1,Each,,0,
#560-INACTIVE,62.5,"INGREDIENTS:Cranberries, Dried Sweetened - 25# case",False,1,Each,,0,
#070-INACTIVE,41.89,"INGREDIENTS:Figs, Diced - 10Kg Box",False,1,Each,,0,
SJD1706-INACTIVE,7.54,"INGREDIENTS:Ancho Chile Powder, by the LB",False,1,Each,,1,lb
SJD2906-INACTIVE,59.1,"INGREDIENTS:Guajillo Chile Powder, 10#",False,1,Each,,1,lb
SJD0804-INACTIVE,22.1,"INGREDIENTS:Habanero Powder, 1#",False,1,Each,,1,lb
I-ORG-PNUTS-30#-INACTIVE,58.5,"INGREDIENTS:Peanut Splits, Org Roasted - 30# case",False,1,Each,,0,
RW2550071-INACTIVE,42,"INGREDIENTS:Apricots, Unsulphured Diced - 28# case",False,1,Each,,0,
23012-INACTIVE,156,"INGREDIENTS:Organic Honey, 60#",False,1,,,0,
I-TEST-ING,0,INGREDIENTS:I-TEST-ING,False,1,Each,,0,
I-ESP-GGET-5lb-INACTIVE,43.25,INGREDIENTS:GGET Espresso - 5LB Bag,False,1,,,0,
I-ORG-CASHEW-INACTIVE,4.4,"INGREDIENTS:Org Cashew Stock, by the LB",False,1,,,0,
I-DRIED-GHOST-1OZ-INACTIVE,0,INGREDIENTS:I-DRIED-GHOST-1OZ,False,1,,,0.06,lb
I-DRIED-HABANERO-1OZ-INACTIVE,0,INGREDIENTS:I-DRIED-HABANERO-1OZ,False,1,,,0.06,lb
I-CAROLINA-REAPER-1OZ-INACTIVE,0,INGREDIENTS:I-DRIED-CAROLINA-REAPER-1OZ,False,1,,,0.06,lb
345037P-INACTIVE,0,"INGREDIENTS:Chocolate, TCHO 81%, Extra Dark",False,1,,,0,lb
I-GRANOLA-INACTIVE,0,INGREDIENTS:Granola,False,1,,,1,lb
OTHER PRODUCTS/SERVICES-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE,False,1,,,0,
S-13166-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Best By Sticker, 20M/BX",False,1,Each,,0,
AP-12PK-BOX,0,OTHER PRODUCTS/SERVICES-INACTIVE:Box - Cherry Pecan 12pk,False,1,Each,,0,
44W64L-INACTIVE,0.69,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk Half Gallon Lid,False,1,Each,,0,
44W64W-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk Hald Gallon Pail,False,1,Each,,0,
PL09W-INACTIVE,0.37,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 1 Gallon Lid,False,1,Each,,0,
P009-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 1 Gallon Pail,False,1,Each,,0,
PL58W-INACTIVE,1.65,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 5 Gallon Lid,False,1,Each,,0,
5GALPAIL-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Bulk 5 Gallon Pail,False,1,Each,,0,
BULK-Label-Sequential Number-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Bulk Sequential Number,False,1,Each,,0,
203495A,0,OTHER PRODUCTS/SERVICES-INACTIVE:Box - Cherry Pecan 12-Pack,False,1,Each,,0,
1012-300-001-100,0,OTHER PRODUCTS/SERVICES-INACTIVE:Packaging - Foil Pouch,False,1,Each,,0,
L-FRENCH-BAR-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - French Ingredient, Bar",False,1,Each,,0,
L-FRENCH-JAR-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - French Ingredient, Butter",False,1,Each,,0,
JAR-4OZ-INACTIVE,0.21,OTHER PRODUCTS/SERVICES-INACTIVE:Jar - 4oz with Lid,False,1,Each,,0,
G10-70-450BIGSPOON01-28-INACTIVE,0.27,OTHER PRODUCTS/SERVICES-INACTIVE:Jar - Custom 10oz,False,1,Each,,0,
WT142989CF-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Jacobson Peanut Hazelnut,False,1,Each,,0,
WT142983CF,0,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Jacobson Peanut,False,1,Each,,0,
C70G-450GGMLP-5-INACTIVE,0.11,"OTHER PRODUCTS/SERVICES-INACTIVE:Lid - 13oz Jar, Gold",False,1,Each,,0,
WT139740CF-INACTIVE,0.13,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - ACT, 10oz",False,1,Each,,0,
WT119593CF-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - AGIN, 10oz",False,1,Each,,0,
WT119600CF-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - ALM, 10oz",False,1,Each,,0,
WT119596CF-INACTIVE,0.13,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - CHAI, 10oz",False,1,Each,,0,
WT119606CF-INACTIVE,0.07,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Lid Topper Tamper Stamp,False,1,Each,,0,
WT145501CF-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - MPC, 10oz",False,1,Each,,0,
L-PCASH-10OZ-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - PCASH, 10oz",False,1,Each,,0,
WT119604CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - PCO, 10oz",False,1,Each,,0,
WT119601CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - PNUT, 10oz",False,1,Each,,0,
WT119605CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - PPEC, 10oz",False,1,Each,,0,
WT147099CF-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - TIGERWALK, 10oz",False,1,Each,,0,
SIGN-BIGPRAISE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Each,False,1,Each,,0,
WT119602CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - PA, 10oz",False,1,Each,,0,
LABEL-ACO-10OZ-INACTIVE,0.13,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - ACO, 10oz",False,1,Each,,0,
LABEL-3OZ-LID-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:LABEL-3OZ-LID,False,1,Each,,0,
LABEL-3OZ-PNUT-INACTIVE,0.16,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Peanut, 3 oz",False,1,Each,,0,
BOX-2PK-JCB-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Box - BOX-2PK-JCB,False,1,Each,,0,
25488-INACTIVE,0.09,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Rollstock - AP,False,1,Each,,0,
25490-INACTIVE,0.09,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Rollstock - CP,False,1,Each,,0,
25492-INACTIVE,0.09,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Rollstock - CC,False,1,Each,,0,
25494-INACTIVE,0.09,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Rollstock - FC,False,1,Each,,0,
WT149183CF-INACTIVE,0.04,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Bar Box - AP,False,1,Each,,0,
WT149184CF-INACTIVE,0.04,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Bar Box - CP,False,1,Each,,0,
WT149187CF-INACTIVE,0.04,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Bar Box - CC,False,1,Each,,0,
WT149189CF-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Bar Box - FC,False,1,Each,,0,
BARBOX-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Box - Bar Box,False,1,Each,,0,
LABEL-HOTP-10OZ-INACTIVE,0.13,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - HOT, 10oz",False,1,Each,,0,
FREIGHT,0,OTHER PRODUCTS/SERVICES-INACTIVE:Service - Shipping Charge,False,1,Each,,0,
FEE,0,OTHER PRODUCTS/SERVICES-INACTIVE:Service - Delivery Fee,False,1,,,0,
WT154673CF-INACTIVE,0,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Peanut Butter, 13oz",False,1,Each,,0,
WT154684CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Peanut Pecan, 13oz",False,1,Each,,0,
WT154680CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Hot Mamba, 13oz",False,1,Each,,0,
WT154681CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Chai Spice, 13oz",False,1,Each,,0,
WT154679CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Maple Cinnamon, 13 oz",False,1,Each,,0,
WT154676CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Cashew Butter, 13 oz",False,1,Each,,0,
WT154682CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Espresso GGET, 13 oz",False,1,Each,,0,
WT154674CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Almond Butter, 13 oz",False,1,Each,,0,
WT154683CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Toasted Coconut, 13 oz",False,1,Each,,0,
WT154678CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Chocolate Sea Salt, 13 oz",False,1,Each,,0,
WT154677CF-INACTIVE,0.17,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Fiji Ginger, 13 oz",False,1,Each,,0,
LABEL-VPACK-NB-3OZ-INACTIVE,0.44,OTHER PRODUCTS/SERVICES-INACTIVE:LABEL-VPACK-NB-3OZ,False,1,,,0,
Jar-13 oz 70/450-INACTIVE,0.28,OTHER PRODUCTS/SERVICES-INACTIVE:Jar - 13oz,False,1,,,0,
BOX-2PK-4PK-INACTIVE,0,OTHER PRODUCTS/SERVICES-INACTIVE:BOX-2PK-4PK,False,1,,,0,
LABEL-MPC-3OZ-INACTIVE,0.16,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Maple Cinnamon, 3 oz",False,1,,,0,
WT156083CF-INACTIVE,0.16,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Fiji Ginger, 3 oz",False,1,,,0,
LABEL-CHAI-3OZ-INACTIVE,0.16,"OTHER PRODUCTS/SERVICES-INACTIVE:Label - Chai Spice, 3 oz",False,1,,,0,
LABEL-1PACK-ACT-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack ACT,False,1,,,0,
LABEL-1PACK-AGIN-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack AGIN,False,1,,,0,
LABEL-1PACK-ALM-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack ALM,False,1,,,0,
LABEL-1PACK-CHAI-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack CHAI,False,1,,,0,
LABEL-1PACK-HOT-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack HOT,False,1,,,0,
LABEL-1PACK-MPC-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack MPC,False,1,,,0,
LABEL-1PACK-PNUT-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack PNUT,False,1,,,0,
LABEL-1PACK-PPEC-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack PPEC,False,1,,,0,
LABEL-2PACK-ACT-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack ACT,False,1,,,0,
LABEL-2PACK-AGIN-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack AGIN,False,1,,,0,
LABEL-2PACK-ALM-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack ALM,False,1,,,0,
LABEL-2PACK-CHAI-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack CHAI,False,1,,,0,
LABEL-2PACK-HOT-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack HOT,False,1,,,0,
LABEL-2PACK-MPC-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack MPC,False,1,,,0,
LABEL-2PACK-PNUT-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack PNUT,False,1,,,0,
LABEL-2PACK-PPEC-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack PPEC,False,1,,,0,
LABEL-1-PACK-ACO-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack ACO,False,1,,,0,
LABEL-2PACK-ACO-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack ACO,False,1,,,0,
LABEL-1PACK-ESP-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 1Pack ESP,False,1,,,0,
LABEL-2PACK-ESP-INACTIVE,0.13,OTHER PRODUCTS/SERVICES-INACTIVE:Label - Amazon - 2Pack ESP,False,1,,,0,
MKT,0,Marketing Materials,True,1,,,0,
MKT-SIGN-BUTTERS,0,Marketing Materials:2x5 Shelf Talker - Butters,True,1,Each,,0,
MKT-SIGN-BARS,0,Marketing Materials:2x5 Shelf Talker - Bars,True,1,Each,,0,
SHELF DISPLAYS - Foam,0,Marketing Materials:Each,False,1,Each,,0,
MKT-SIGN-LOGO-TIN,0,Marketing Materials:Large Tin Logo Sign,True,1,Each,,0,
MKT-SIGN-BIGPRAISE,0,Marketing Materials:Large Big Praise Foamboard Sign,True,1,Each,,0,
MKT-SIGN-ABOUTUS,0,Marketing Materials:About BSR Card,True,1,Each,,0,
MKT-STICKERS-LOGO,0,Marketing Materials:Stickers - Logo,True,1,Each,,0,
MKT-SIGN-LOGO-FOAM,0,Marketing Materials:Logo Foam Sign,True,1,Each,,0,
MKT-SIGN-CHECKLIST,0,Marketing Materials:Checklist Card,True,1,Each,,0,
MKT-MAT-CARDS,0.2664,Marketing Materials:BSR Business Cards,True,1,Each,,0,
MKT-MAT-GIFT,0.29938,Marketing Materials:Gift Note Card,True,1,Each,,0,
MKT-STICKERS-OCTO,0.1625,Marketing Materials:Stickers - Octopus,True,1,Each,,0,
MKT-STICKERS-BEAR,0.1625,Marketing Materials:Stickers - Bear,True,1,Each,,0,
MERCH-CYL-CAP,11.56,Cycling Cap,True,1,Each,,0,
MERCH-T-PNUT,0,2018 BSR T-shirt - Peanut Plant,True,1,Each,,0,
MERCH-T-PNUT-U-XL,8.19,2018 BSR T-shirt - Peanut Plant:Unisex XL,True,1,Each,,0,
MERCH-T-PNUT-U-L,8.19,2018 BSR T-shirt - Peanut Plant:Unisex Large,True,1,Each,,0,
MERCH-T-PNUT-U-M,8.19,2018 BSR T-shirt - Peanut Plant:Unisex Medium,True,1,Each,,0,
MERCH-T-PNUT-U-S,8.19,2018 BSR T-shirt - Peanut Plant:Unisex Small,True,1,Each,,0,
MERCH-T-PNUT-W-XL,7.39,2018 BSR T-shirt - Peanut Plant:Women's XL,True,1,Each,,0,
MERCH-T-PNUT-W-L,7.39,2018 BSR T-shirt - Peanut Plant:Women's Large,True,1,Each,,0,
MERCH-T-PNUT-W-M,7.39,2018 BSR T-shirt - Peanut Plant:Women's Medium,True,1,Each,,0,
MERCH-T-PNUT-W-S,7.39,2018 BSR T-shirt - Peanut Plant:Women's Small,True,1,Each,,0,
MERCH-SILV-SPOON,7.29,Silver-plated Big Spoon,True,1,Each,,0,
SJD1706,7.54,Ancho Chiles,True,1,10 lb,,1,lb
255,1.5,Apricots - Diced,True,1,28 lb,,1,lb
12116120,3.85,Cashews - Organic,True,1,50 lb,,1,lb
001A,14.24,Chai Spice Mix,True,1,25 lb,,1,lb
CHSPO12010Z,5.7,Cherries,True,1,10 lb,,1,lb
1086,3.45,Almonds,True,1,50 lb,,1,lb
345037P,10.29,Chocolate - 81%,True,1,6.6 lb,,1,lb
990042,8.55,Coconut Oil,True,1,2 lb,,1,lb
250220,2.34,Grapeseed Oil,True,1,10.57 lb,,1,lb
181242,1.79,Oats - Gluten Free,True,1,50 lb,,1,
NSSU155,1.92,Sugar - Raw,True,1,25 lb,,1,lb
I-ESP-GGET,8.65,Espresso - Go Get'em Tiger,True,1,5 lb,,1,lb
I-ESP-TWALK,10.35,Espresso - Tigerwalk,True,1,5 lb,,1,lb
20144,6.39,Ginger - Chips,True,1,,,1,lb
93040O,6.5,Maple Sugar,True,1,40 lb,,1,lb
91040O,6.5,Maple Powder,True,1,40 lb,,1,lb
12128220,1.88,Coconut - Unsweetened,True,1,20 lb,,1,lb
MORSEL-5KG,11.36,Chocolate - Morsels,True,1,11.02 lb,,1,lb
CRNGDO12025U,2.65,Cranberries,True,1,25 lb,,1,lb
No. 070,1.9,Figs - Diced,True,1,22 lb,,1,lb
30073,6.25,Hazelnuts,True,1,25 lb,,1,lb
23012,2.6,Honey - Organic,True,1,60 lb,,1,lb
I-PECANS-ORG,6.25,Pecans,True,1,30 lb,,1,lb
I-PEPITAS,3.15,Pepitas,True,1,25 lb,,1,lb
QUINOAFLK50#B-O,2.08,Quinoa - Flakes,True,1,60 lb,,1,lb
I-SORGHUM,2.22,Sorghum,True,1,60 lb,,1,lb
KOSH#10,4.92,Salt,True,1,10 lb,,1,lb
SJH34407,1.79,Cinnamon,True,1,25 lb,,1,lb
SJD2906,5.91,Guajillo Chiles,True,1,10 lb,,1,lb
SJD0804,2.21,Habanero Chiles,True,1,1 lb,,1,lb
VANPOWLB,50.1,Vanilla Powder,True,1,1 lb,,1,lb
ORBLSP,1.95,Peanuts - Organic,True,1,30 lb,,1,lb
I-CHOC-NIBS,9.75,Chocolate - Nibs,True,1,10 lb,,1,lb
L90D,1.85,Inulin,True,1,617 lb drum,,1,lb
OGFCQ-136,5.72,Quinoa - Crisps,True,1,25 lb,,1,lb
A4-15,4.88,Coconut Crystals,True,1,27.5 lb,,1,lb
870H,3.9,Pea Protein,True,1,44.1 lb,,1,lb
LABEL-NB-130Z,0,Label-NB-13 oz,True,1,Each,,0,
WT154674CF,0.17,Label-NB-13 oz:Almond Butter,True,1,Each,,0,
WT154676CF,0.17,Label-NB-13 oz:Cashew Butter,True,1,Each,,0,
WT154681CF,0.17,Label-NB-13 oz:Chai Spice,True,1,Each,,0,
WT154678CF,0.17,Label-NB-13 oz:Chocolate Sea Salt,True,1,Each,,0,
WT154677CF,0.17,Label-NB-13 oz:Fiji Ginger,True,1,Each,,0,
WT154682CF,0.12,Label-NB-13 oz:GGet Espresso,True,1,Each,,0,
WT154680CF,0.17,Label-NB-13 oz:Hot Mamba,True,1,Each,,0,
WT154679CF,0.17,Label-NB-13 oz:Maple Cinnamon,True,1,Each,,0,
WT154673CF,0.17,Label-NB-13 oz:Peanut Butter,True,1,Each,,0,
WT154684CF,0.17,Label-NB-13 oz:Peanut Pecan,True,1,Each,,0,
WT154683CF,0.17,Label-NB-13 oz:Toasted Coconut,True,1,Each,,0,
WT161820CF,0.17,Label-NB-13 oz:Wag Butter,True,1,Each,,0,
LABEL-NB-100Z,0,Labels - NB - 10 oz,True,1,Each,,0,
WT147099CF,0.13,Labels - NB - 10 oz:Tigerwalk Espresso,True,1,Each,,0,
LABEL-NB-LTD-CCCG,0.09,Labels - NB - 10 oz:Ltd Batch - CCC Gianduja,True,1,Each,,0,
LABEL-NB-LTD-PEP,0.09,Labels - NB - 10 oz:Ltd Batch - Pepperfest,True,1,Each,,0,
LABEL-NB-LTD-LCASH,0.09,Labels - NB - 10 oz:Ltd Batch - Lemon Cashew,True,1,Each,,0,
LABEL-NB-LTD-CCAKE,0.09,Labels - NB - 10 oz:Ltd Batch - Carrot Cake Walnut,True,1,Each,,0,
LABEL-NB-LTD-PPIE,0.09,Labels - NB - 10 oz:Ltd Batch - Sorghum Pecan Pie,True,1,Each,,0,
LABEL-NB-LTD-FGPNUT,0.09,Labels - NB - 10 oz:Ltd Batch - Fiji Ginger Peanut,True,1,Each,,0,
WT119602CF,0,Labels - NB - 10 oz:Peanut Almond,True,1,Each,,0,
WT148383CF,0.09,Labels - NB - 10 oz:Counter Culture Espresso,True,1,Each,,0,
WT148401CF,0.09,Labels - NB - 10 oz:Carrboro Espresso,True,1,Each,,0,
WT148394CF,0.09,Labels - NB - 10 oz:Peanut Cocoa,True,1,Each,,0,
WT148393CF,0.09,Labels - NB - 10 oz:Peanut Cashew,True,1,Each,,0,
NB-LABEL-30Z,0,Label-NB-3oz,True,1,Each,,0,
WT156081CF,0.16,Label-NB-3oz:Chai Spice,True,1,Each,,0,
WT156083CF,0.16,Label-NB-3oz:Fiji Ginger,True,1,Each,,0,
WT156082CF,0.16,Label-NB-3oz:Maple Cinnamon,True,1,Each,,0,
WT156080CF,0.16,Label-NB-3oz:Peanut Butter,True,1,Each,,0,
WT156085CF,0.16,Label-NB-3oz:Chocolate Sea Salt,True,1,Each,,0,
WT156084CF,0.16,Label-NB-3oz:Almond Butter,True,1,Each,,0,
WT156086CF,0.16,Label-NB-3oz:Toasted Coconut,True,1,Each,,0,
LABEL-NB-1PACK,0,Label-NB-1Pack,True,1,Each,,0,
WT158151CF,0.12,Label-NB-1Pack:Almond Butter,True,1,Each,,0,
