id,sku
162532,NB-GGET-SUBSCR
162551,NB-PNUT-13OZ-1PACK-GIFT
162102,NB-CSS-13OZ-1PACK
162114,NB-CSS-13OZ-2PACK
162115,NB-FGIN-13OZ-2PACK
162109,NB-TCO-13OZ-1PACK
162099,NB-ALM-13OZ-1PACK
162103,NB-FGIN-13OZ-1PACK
162113,NB-CHAI-13OZ-2PACK
162119,NB-PNUT-13OZ-2PACK
162118,NB-MPC-13OZ-2PACK
162105,NB-MAMBA-13OZ-1PACK
162106,NB-MPC-13OZ-1PACK
162108,NB-PPEC-13OZ-1PACK
162111,NB-ALM-13OZ-2PACK
20977,SHIPPING
162524,BAR-FC-SUBSCR
162130,NB-MPC-13OZ-CASE
162526,BAR-VP-SUBSCR
162587,NB-CHAI-PNUT-13OZ-2PACK-GIFT
162135,NB-CHAI-3OZ-CASE
162124,NB-CASH-13OZ-CASE
161857,MERCH-T-PNUT-W-L
161786,MERCH-T-SPOONS-W-L
161860,MERCH-SILV-SPOON
162601,NB-FGIN-TCO-13OZ-2PACK-GIFT
162596,NB-FGIN-MAMBA-13OZ-2PACK-GIFT
161952,NB-PNUT-4LB
162548,NB-GGET-13OZ-1PACK-GIFT
21050,MKT-SIGN-LOGO-TIN
162075,BAR-VP-GIFT
161951,NB-PNUT-3OZ
162116,NB-GGET-13OZ-2PACK
161962,NB-TCO-8LB
161922,NB-CSS-4LB
161913,NB-CASH-4LB
161946,NB-MPC-4LB
161917,NB-CHAI-3OZ
164235,NB-TCO-3OZ
161961,NB-TCO-4LB
164234,NB-ALM-3OZ-CASE
162138,NB-PNUT-3OZ-CASE
162543,NB-ALM-13OZ-1PACK-GIFT
162536,NB-TCO-SUBSCR
162329,NB-GGET-13OZ-SAMPLE
162331,NB-MPC-13OZ-SAMPLE
164232,NB-CSS-3OZ-CASE
162553,NB-TCO-13OZ-1PACK-GIFT
162567,NB-ALM-CHAI-13OZ-2PACK-GIFT
162571,NB-ALM-MPC-13OZ-2PACK-GIFT
162583,NB-CHAI-CSS-13OZ-2PACK-GIFT
163756,NB-PCASH-10OZ-1
163985,NB-ABJ-SUBSCR-FEB20
164021,NB-RSTR-SUBSCR-FEB20
162079,BAR-CP-MASTERCASE
162078,BAR-CC-MASTERCASE
162550,NB-MPC-13OZ-1PACK-GIFT
163882,NB-PBJ-FEB20-GIFT
163884,NB-ABJ-FEB20-GIFT
164002,NB-PBJ-SUBSCR-FEB20
162608,NB-MPC-TCO-130Z-2PACK-GIFT
161858,MERCH-T-PNUT-W-M
163885,NB-ABJ-FEB20
163883,NB-PBJ-FEB20
162594,NB-CSS-PPEC-13OZ-2PACK-GIFT
161789,MERCH-T-SPOONS-U-M
161914,NB-CASH-8LB
161947,NB-MPC-8LB
162582,NB-CASH-TCO-13OZ-2PACK-GIFT
162136,NB-FGIN-3OZ-CASE
161910,NB-ALM-8LB
161926,NB-FGIN-3OZ
162577,NB-CASH-FGIN-13OZ-2PACK-GIFT
163278,MERCH-JAM-JAN20
163752,NB-PCO-10OZ-1
162324,MKT-SIGN-ABOUTUS
161928,NB-FGIN-8LB
162546,NB-CSS-13OZ-1PACK-GIFT
162588,NB-CHAI-PPEC-13OZ-2PACK-GIFT
161964,NB-TWALK-10OZ
162531,NB-CHAI-SUBSCR
161909,NB-ALM-4LB
162336,NB-CHAI-3OZ-SAMPLE
162080,BAR-FC-MASTERCASE
163762,NB-PCO-10OZ-CASE
162597,NB-FGIN-MPC-13OZ-2PACK-GIFT
162579,NB-CASH-MPC-13OZ-2PACK-GIFT
162343,BAR-CP-SINGLE-SAMPLE
161792,MERCH-CYL-CAP
162549,NB-MAMBA-13OZ-1PACK-GIFT
162547,NB-FGIN-13OZ-1PACK-GIFT
163384,NB-RSTR-SUBSCR-JAN20
161957,NB-PPEC-4LB
162589,NB-CHAI-TCO-13OZ-2PACK-GIFT
163378,NB-PBJ-JAN20
163379,NB-ABJ-JAN20
163382,NB-ABJ-SUBSCR-JAN20
162537,NB-MPC-SUBSCR
163383,NB-PBJ-SUBSCR-JAN20
163351,MKT-STICKERS-LOGO
161856,MERCH-T-PNUT-W-XL
162323,NB-ALM-130Z-SAMPLE
163380,NB-ABJ-JAN20-GIFT
163381,NB-PBJ-JAN20-GIFT
162077,BAR-AP-MASTERCASE
162605,NB-MAMBA-TCO-130Z-2PACK-GIFT
162585,NB-CHAI-MAMBA-13OZ-2PACK-GIFT
162611,NB-PPEC-TCO-130Z-2PACK-GIFT
161859,MERCH-T-PNUT-W-S
162284,MERCH-JAM-DEC19
161785,MERCH-T-SPOONS-W-M
162338,NB-FGIN-3OZ-SAMPLE
162581,NB-CASH-PPEC-13OZ-2PACK-GIFT
162545,NB-CHAI-13OZ-1PACK-GIFT
162566,NB-ALM-CASH-13OZ-2PACK-GIFT
162609,NB-PNUT-PPEC-130Z-2PACK-GIFT
162943,NB-ABJ-SUBSCR-DEC19
163243,NB-RSTR-SUBSCR-DEC19
162942,NB-PBJ-SUBSCR-DEC19
163206,NB-WHOOPS-ESP-13OZ
162173,NB-LTD-CCCG-10OZ
162573,NB-ALM-PPEC-13OZ-2PACK-GIFT
162569,NB-ALM-FGIN-13OZ-2PACK-GIFT
162604,NB-MAMBA-PPEC-130Z-2PACK-GIFT
162568,NB-ALM-CSS-13OZ-2PACK-GIFT
162247,BAR-CP-SCRAP
161791,MERCH-T-SPOONS-U-XL
162940,NB-ABJ-DEC19
162939,NB-PBJ-DEC19-GIFT
162938,NB-PBJ-DEC19
162523,BAR-CC-SUBSCR
162326,NB-CHAI-13OZ-SAMPLE
162332,NB-PNUT-13OZ-SAMPLE
162603,NB-MAMBA-PNUT-130Z-2PACK-GIFT
161923,NB-CSS-8LB
162482,MERCH-JAM-FIDDLEHEAD
161854,MERCH-T-PNUT-U-M
162177,MERCH-JAM-OCT19
162468,MERCH-JAM-BLENAPRICOT
162469,MERCH-JAM-FLAVPLUMCOT
162470,MERCH-JAM-PEARGINGER
162030,PKG-BOX-2PK-4PK
29085,W-AGIN-13OZ-INACTIVE
29078,W-MPC-13OZ-INACTIVE
21548,W-CASE-AP-INACTIVE
21550,W-CASE-CP-INACTIVE
21549,W-CASE-CC-INACTIVE
21547,W-CASE-FC-INACTIVE
20336,W-CHAI-3OZ-INACTIVE
29077,W-CHAI-13OZ-INACTIVE
29084,W-ACO-13OZ-INACTIVE
20423,W-AGIN-3OZ-INACTIVE
29075,W-HOT-13OZ-INACTIVE
29071,W-PNUT-13OZ-INACTIVE
15581,W-PNUT-3OZ-INACTIVE
29083,W-ACT-13OZ-INACTIVE
15560,B-PNUT-8LB-INACTIVE
29082,W-ALM-13OZ-INACTIVE
29080,W-CASH-13OZ-INACTIVE
29081,W-ESP-13OZ-INACTIVE
29074,W-PPEC-13OZ-INACTIVE
15540,B-AGIN-4LB-INACTIVE
29241,W-3OZ-VP-NB-INACTIVE
29725,B-CASH-4LB-INACTIVE
15552,B-MPC-8LB-INACTIVE
15559,B-PNUT-4LB-INACTIVE
19802,B-PNUT-ONLY-INACTIVE
15544,B-ALM-WFM-1GAL-INACTIVE
15542,B-ALM-4LB-INACTIVE
20383,W-MPC-3OZ-INACTIVE
15569,W-ESP-10OZ-INACTIVE
15546,B-CHAI-8LB-INACTIVE
15562,B-PPEC-4LB-INACTIVE
15548,B-ESP-8LB-INACTIVE
15550,B-HOTP-8LB-INACTIVE
15539,B-ACT-8LB-INACTIVE
15563,B-PPEC-8LB-INACTIVE
15551,B-MPC-4LB-INACTIVE
