sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,stock,weight,weight_units
W-AGIN-3OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AGIN-3OZ,False,12,EACH,,"[{'id': 50836, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-NB-VP-INACTIVE,0,WHOLESALE-INACTIVE:W-NB-VP,False,1,Each,,"[{'id': 51284, 'on_hand': '390', 'available': '390', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-CASE-FC-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-FC,True,1,Each,12.0,"[{'id': 53599, 'on_hand': '9', 'available': '9', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2,lb
W-CASE-AP-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-AP,False,1,Each,12.0,"[{'id': 53600, 'on_hand': '92', 'available': '92', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2,lb
W-CASE-CC-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-CC,True,1,Each,12.0,"[{'id': 53601, 'on_hand': '7', 'available': '7', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2,lb
W-CASE-CP-INACTIVE,0,WHOLESALE-INACTIVE:W-CASE-CP,True,1,Each,12.0,"[{'id': 53602, 'on_hand': '92', 'available': '92', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2,lb
WHOLESALE,0,WHOLESALE-INACTIVE:W-CASHEW-13OZ,False,6,Each,,"[{'id': 63430, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",13,oz
W-PNUT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PNUT-13OZ,False,6,Each,,"[{'id': 63479, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-PPEC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-PPEC-13OZ,False,6,Each,,"[{'id': 63484, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-HOT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-HOT-13OZ,False,6,Each,,"[{'id': 63485, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-CHAI-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-CHAI-13OZ,False,6,Each,,"[{'id': 63488, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-MPC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-MPC-13OZ,True,6,Each,,"[{'id': 63489, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-CASH-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-CASH-13OZ,True,6,Each,,"[{'id': 63492, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-ESP-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ESP-13OZ,False,6,Each,,"[{'id': 63493, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-ALM-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ALM-13OZ,False,6,Each,,"[{'id': 63494, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-ACT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ACT-13OZ,False,6,Each,,"[{'id': 63495, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-ACO-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-ACO-13OZ,True,6,Each,,"[{'id': 63496, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-AGIN-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AGIN-13OZ,True,6,Each,,"[{'id': 63497, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.3,lb
W-3OZ-VP-NB-INACTIVE,0,WHOLESALE-INACTIVE:W-3OZ-VP,False,6,Each,,"[{'id': 63748, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ACO-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACO-13OZ,False,1,,,"[{'id': 64430, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ACO-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACO-13OZ -2PAK,False,1,,,"[{'id': 64431, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ACT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACT-13OZ,False,1,,,"[{'id': 64432, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ACT-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ACT-13OZ -2PAK,False,1,,,"[{'id': 64433, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-AGIN-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-AGIN-13OZ,False,1,,,"[{'id': 64434, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-AGIN-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-AGIN-13OZ -2PAK,False,1,,,"[{'id': 64435, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ALM-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ALM-13OZ,False,1,,,"[{'id': 64436, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ALM-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ALM-13OZ -2PAK,False,1,,,"[{'id': 64437, 'on_hand': '94', 'available': '94', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-CASH-13OZ,0,WHOLESALE-INACTIVE:W-AMZN-CASH-13OZ,False,1,,,"[{'id': 64438, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-CASH-13OZ -2PAK,0,WHOLESALE-INACTIVE:W-AMZN-CASH-13OZ -2PAK,False,1,,,"[{'id': 64439, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-CHAI-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-CHAI-13OZ,False,1,,,"[{'id': 64440, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-CHAI-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-CHAI-13OZ -2PAK,False,1,,,"[{'id': 64441, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ESP-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ESP-13OZ,False,1,,,"[{'id': 64442, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-ESP-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-ESP-13OZ -2PAK,False,1,,,"[{'id': 64443, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-HOT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-HOT-13OZ,False,1,,,"[{'id': 64444, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-HOT-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-HOT-13OZ -2PAK,False,1,,,"[{'id': 64445, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-MPC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-MPC-13OZ,False,1,,,"[{'id': 64446, 'on_hand': '82', 'available': '82', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-MPC-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-MPC-13OZ -2PAK,False,1,,,"[{'id': 64447, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-PNUT-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PNUT-13OZ,False,1,,,"[{'id': 64448, 'on_hand': '94', 'available': '94', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-PNUT-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PNUT-13OZ -2PAK,False,1,,,"[{'id': 64449, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-PPEC-13OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PPEC-13OZ,False,1,,,"[{'id': 64450, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
W-AMZN-PPEC-13OZ -2PAK-INACTIVE,0,WHOLESALE-INACTIVE:W-AMZN-PPEC-13OZ -2PAK,False,1,,,"[{'id': 64451, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
