sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
B-CASH-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-CASH-8LB,False,1,Each,,0,
W-AMZN-3OZ-VP-NB,0,WHOLESALE-INACTIVE:W-AMZN-3OZ-VP-NB,False,1,,,0,
W-LTD-PEP-10OZ-INACTIVE,0,WHOLESALE-INACTIVE:W-LTD-PEP-10OZ,False,1,,,0,
BATCH,0,BATCH,True,1,,,0,
BATCH-TWALK,0,BATCH:BATCH-TWALK,True,1,,,0,gm
BATCH-ACO-INACTIVE,0,BATCH:Batch:Almond Coconut Batch,False,1,,,0,
BATCH-ACT-INACTIVE,0,BATCH:Batch:Almond Coconut Batch,False,1,,,0,
BATCH-AGIN-INACTIVE,0,BATCH:Batch:Almond Ginger Batch,False,1,,,0,
BATCH-CHAI,0,BATCH:BATCH-CHAI,True,1,,,0,
BATCH-MPC,0,BATCH:BATCH-MPC,True,1,,,0,
BATCH-MISSION-ALM-INACTIVE,0,BATCH:Batch:Mission Almond Batch,False,1,,,0,
BATCH-PNUT,0,BATCH:BATCH-PNUT,True,1,,,0,
BATCH-PALM,0,BATCH:BATCH-PALM,False,1,,,0,
BATCH-PCASH-INACTIVE,0,BATCH:Batch:Peanut Cashew Batch,False,1,,,0,
BATCH-PPEC,0,BATCH:BATCH-PPEC,True,1,,,0,
BATCH-PCO-INACTIVE,0,BATCH:Batch:Peanut Cocoa Batch,False,1,,,0,
BATCH-JCB-PNUT-INACTIVE,0,BATCH:Batch:JCB Peanut Batch,False,1,,,0,
BATCH-JCB-HZL-INACTIVE,0,BATCH:Batch:JCB Hazelnut Batch,False,1,,,0,
BATCH-70-AP-INACTIVE,0,BATCH:Batch:70g Bar Batch - Apricot Pepita,False,1,,,0,
BATCH-70-CP-INACTIVE,0,BATCH:Batch:70g Bar Batch - Cherry Pecan,False,1,,,0,
BATCH-GRANOLA,0,BATCH:Batch - Granola,False,1,,,0,
BATCH-JUST-PNUT,0,BATCH:BATCH-JUST-PNUT,True,1,Each,,0,
BATCH-HOTP-INACTIVE,0,BATCH:Batch:Hot Peanut Batch,False,1,,,0,
BATCH-BAR-FC,0,BATCH:BATCH-BAR-FC,True,1,,,0,
BATCH-BAR-CC,0,BATCH:BATCH-BAR-CC,True,1,,,0,
BATCH-BAR-AP,0,BATCH:BATCH-BAR-AP,True,1,,,0,
