id,sku,price,name,active
171258,NB-ABJ-SUBSCR-MAR20,31,"Nut Butter, Subscriptions:ABJ-MAR20-SUBSCR",False
162062,BAR-AP-CASE,27,Apricot Pepita Nut Butter Bar:Case,True
161788,MERCH-T-SPOONS-U-S,25,2019 BSR T-shirt - Spoons:Unisex Small,True
163724,MERCH-GCARD-10,10,BSR Gift Card:$10,True
162328,NB-FGIN-13OZ-SAMPLE,8.75,"Nut Butter, 13 oz Single Jar Sample:Fiji Ginger",True
162327,NB-CSS-13OZ-SAMPLE,8.75,"Nut Butter, 13 oz Single Jar Sample:Chocolate Sea Salt",True
162325,NB-CASH-13OZ-SAMPLE,8.95,"Nut Butter, 13 oz Single Jar Sample:Cashew Butter",True
162334,NB-TCO-13OZ-SAMPLE,8.75,"Nut Butter, 13 oz Single Jar Sample:Toasted Coconut",True
162333,NB-PPEC-13OZ-SAMPLE,7.5,"Nut Butter, 13 oz Single Jar Sample:Peanut Pecan",True
162337,NB-MPC-3OZ-SAMPLE,4.25,"Nut Butter, 3 oz Single Jar Sample:Maple Cinnamon",True
162330,NB-MAMBA-13OZ-SAMPLE,7.5,"Nut Butter, 13 oz Single Jar Sample:Hot Mamba",True
162146,NB-TRIO-FW19,33.95,"Nut Butter, 3-Pack 13 oz:TRIO-FW19",False
162148,NB-3OZ-4PACK-GIFT,24.95,"Nut Butter, Variety Pack 3oz:3OZ-4PACK-GIFT",False
162592,NB-CSS-MPC-13OZ-2PACK-GIFT,27.95,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chocolate Sea Salt & Maple Cinnamon",True
162590,NB-CSS-FGIN-13OZ-2PACK-GIFT,27.95,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Chocolate Sea Salt & Fiji Ginger",True
171259,NB-RSTR-SUBSCR-MAR20,15.95,"Nut Butter, Subscriptions:RSTR-MAR20",False
162132,NB-PPEC-13OZ-CASE,128.95,"Nut Butter, 13 oz Case:Peanut Pecan",True
162125,NB-CHAI-13OZ-CASE,128.95,"Nut Butter, 13 oz Case:Chai Spice",True
161784,MERCH-T-SPOONS-W-S,25,2019 BSR T-shirt - Spoons:Women's Small,True
162602,NB-MAMBA-MPC-130Z-2PACK-GIFT,27.95,"Nut Butter, 13oz Custom 2 Jar Gift Pack:Hot Mamba & Maple Cinnamon",True
162063,BAR-AP-SINGLE,1.5,Apricot Pepita Nut Butter Bar:Bar,True
162069,BAR-CP-SINGLE,1.5,Cherry Pecan Nut Butter Bar:Bar,True
162072,BAR-FC-SINGLE,1.5,Figgy Chai Nut Butter Bar:Bar,True
162066,BAR-CC-SINGLE,1.5,Cranberry Cashew Nut Butter Bar:Bar,True
162121,NB-TCO-13OZ-2PACK,13.13,"Nut Butter, 2-Pack 13 oz Jar:Toasted Coconut",True
