

sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size, stock,weight,weight_units,0
NB-ABJ-MAR20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-MAR20",True,1,2/13oz Pack,"[{'id': 209369, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-MAR20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-MAR20-GIFT",True,1,2/13oz Pack,"[{'id': 209370, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-APR20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-APR20",True,1,2/13oz Pack,"[{'id': 209551, 'on_hand': '2', 'available': '-13', 'committed': '15', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-ABJ-APR20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-APR20-GIFT",True,1,2/13oz Pack,"[{'id': 209552, 'on_hand': '1', 'available': '0', 'committed': '1', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-PBJ-OCT19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-OCT19",False,1,2/13oz Pack,"[{'id': 198663, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-OCT19-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-OCT19-GIFT",False,1,2/13oz Pack,"[{'id': 198664, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-DEC19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-DEC19",False,1,2/13oz Pack,"[{'id': 200225, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-PBJ-DEC19-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-DEC19-GIFT",False,1,2/13oz Pack,"[{'id': 200226, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",3,lb
NB-PBJ-NOV19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-NOV19",False,1,2/13oz Pack,"[{'id': 200399, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-GIFT-NOV19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-NOV19-GIFT",False,1,2/13oz Pack,"[{'id': 200400, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-JAN20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-JAN20",False,1,2/13oz Pack,"[{'id': 201121, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-JAN20-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-JAN20-GIFT",False,1,2/13oz Pack,"[{'id': 201124, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-FEB20-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-FEB20-GIFT",False,1,2/13oz Pack,"[{'id': 201804, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-FEB20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-FEB20",False,1,2/13oz Pack,"[{'id': 201805, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-MAR20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-MAR20",True,1,2/13oz Pack,"[{'id': 209367, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-MAR20-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-MAR20-GIFT",True,1,2/13oz Pack,"[{'id': 209368, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-APR20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-APR20",True,1,2/13oz Pack,"[{'id': 209549, 'on_hand': '1', 'available': '-10', 'committed': '11', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
