sku,ID,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,stock,weight,weight_units,asset_account_id,is_master
I-FIGS,181980,1.9,"Figs, Diced",True,1,22 lb,,"[{'id': 220193, 'on_hand': '403.2142', 'available': '403.2142', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-GINGER-CHIPS,181981,6.39,"Ginger, Crystallized Chips",True,1,,,"[{'id': 220194, 'on_hand': '996.62', 'available': '996.62', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-GRAPESEED-OIL,181982,2.34,"Oil, Grapeseed",True,1,10.57 lb,,"[{'id': 220195, 'on_hand': '2', 'available': '2', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-HABENERO,181983,18.1,"Habanero Chiles, Powder",True,1,1 lb,,"[{'id': 220196, 'on_hand': '21.29687', 'available': '21.29687', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-OATS-GF,182038,1.79,"Oats, Gluten Free",True,1,50 lb,,"[{'id': 220251, 'on_hand': '82.9', 'available': '82.9', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,,1017.0,True
I-SALT,182039,4.92,"Sea Salt, Kosher",True,1,10 lb,,"[{'id': 220252, 'on_hand': '256.00361', 'available': '256.00361', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-SUGAR,182040,1.92,"Sugar, RAW",True,1,25 lb,,"[{'id': 220253, 'on_hand': '216.81915', 'available': '216.81915', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-LECITHIN,182042,3.4,"Lecithin, Sunflower",True,1,"3.9KG, 8.6LBS",,"[{'id': 220255, 'on_hand': '3.15', 'available': '3.15', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-SUN-LECITHIN,187449,0,Sunflower Lecithin,True,1,19 kg or 41.89 lb,,"[{'id': 225705, 'on_hand': '83.78', 'available': '83.78', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
3011-NUTS.COM,187450,0,"Coconut Chips, Unsweetened Conventional",True,1,25 lb,,"[{'id': 225706, 'on_hand': '100', 'available': '100', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
